medfile	rat	session	sessiontype	quinine	box	dietgroup	date	bottleL	bottleR	licksL	licksR	Totallicks	intakeL	intakeR	endcol
!2018-05-14_12h32m.Subject QPP1.5190	5190	1	Pretraining		1	NR	14/05/2018	Saccharin	Saccharin	215	22	237	0	0	0
!2018-05-14_12h32m.Subject QPP1.5191	5191	1	Pretraining		2	NR	14/05/2018	Saccharin	Saccharin	856	101	957	14	0	0
!2018-05-14_12h32m.Subject QPP1.5194	5194	1	Pretraining		3	PR	14/05/2018	Saccharin	Saccharin	22	5	27	0	8	0
!2018-05-14_12h32m.Subject QPP1.5195	5195	1	Pretraining		4	PR	14/05/2018	Saccharin	Saccharin	47	12	59	1	1	0
!2018-05-14_13h47m.Subject QPP1.5196	5196	1	Pretraining		1	PR	14/05/2018	Saccharin	Saccharin	91	24	115	0	0	0
!2018-05-14_13h47m.Subject QPP1.5197	5197	1	Pretraining		2	PR	14/05/2018	Saccharin	Saccharin	108	1286	1394	10	3	0
!2018-05-14_13h47m.Subject QPP1.5207	5207	1	Pretraining		3	NR	14/05/2018	Saccharin	Saccharin	1129	504	1633	3	1	0
!2018-05-14_13h47m.Subject QPP1.5208	5208	1	Pretraining		4	NR	14/05/2018	Saccharin	Saccharin	1042	825	1867	1	2	0
!2018-05-14_15h00m.Subject QPP1.5209	5209	1	Pretraining		1	NR	14/05/2018	Saccharin	Saccharin	336	734	1070	2	2	0
!2018-05-14_15h00m.Subject QPP1.5210	5210	1	Pretraining		2	NR	14/05/2018	Saccharin	Saccharin	1876	266	2142	12	1	0
!2018-05-14_15h00m.Subject QPP1.5211	5211	1	Pretraining		3	PR	14/05/2018	Saccharin	Saccharin	979	533	1512	2	1	0
!2018-05-14_15h00m.Subject QPP1.5212	5212	1	Pretraining		4	PR	14/05/2018	Saccharin	Saccharin	567	412	979	1	1	0
!2018-05-14_16h11m.Subject QPP1.5213	5213	1	Pretraining		1	PR	14/05/2018	Saccharin	Saccharin	447	295	742	1	1	0
!2018-05-14_16h11m.Subject QPP1.5214	5214	1	Pretraining		2	PR	14/05/2018	Saccharin	Saccharin	1007	736	1743	13	2	0
!2018-05-14_16h11m.Subject QPP1.5215	5215	1	Pretraining		3	NR	14/05/2018	Saccharin	Saccharin	404	1384	1788	1	5	0
